Number,Station name,Latitude,Longitud
10055,GABBIN,-30.800,117.681
10058,GOOMALLING,-31.299,116.827
10060,GRABALL,-31.989,118.511
10061,HAPPY VALLEY,-31.142,116.956
10062,ELY PARK,-31.235,116.882
10063,HAWTHORNDEN,-31.514,116.458
10065,JENNABERRING,-31.900,117.500
10066,JENNAPULLIN,-31.517,116.700
10070,KALANNIE,-30.369,117.113
10071,KARLONING,-30.645,118.130
10074,KIRAMI,-31.000,117.900
10077,KOORDA,-30.825,117.483
10080,JINGYMIA,-30.501,117.403
10081,KULJA,-30.467,117.283
10084,GLAMOFF,-30.106,117.360
10085,LANAUBRA,-31.300,118.000
10088,WALLAMABIN PARK,-30.950,117.533
10090,MANGOWINE,-31.050,118.100
10093,MERREDIN RESEARCH STATION,-31.499,118.224
10097,MONINGARIN,-30.657,117.263
10099,MOUNT CAROLINE,-31.800,117.600
